date,close_price
2022-05-27,149.6400
2022-05-26,143.7800
2022-05-25,140.5200
2022-05-24,140.3600
2022-05-23,143.1100
2022-05-20,137.5900
2022-05-19,137.3500
2022-05-18,140.8200
2022-05-17,149.2400
2022-05-16,145.5400
2022-05-13,147.1100
2022-05-12,142.5600
2022-05-11,146.5000
2022-05-10,154.5100
2022-05-09,152.0600
2022-05-06,157.2800
2022-05-05,156.7700
2022-05-04,166.0200
2022-05-03,159.4800
2022-05-02,157.9600
2022-04-29,157.6500
2022-04-28,163.6400
2022-04-27,156.5700
2022-04-26,156.8000
2022-04-25,162.8800
2022-04-22,161.7900
2022-04-21,166.4200
2022-04-20,167.2300
2022-04-19,167.4000
2022-04-18,165.0700
2022-04-14,165.2900
2022-04-13,170.4000
2022-04-12,167.6600
2022-04-11,165.7500
2022-04-08,170.0900
2022-04-07,172.1400
2022-04-06,171.8300
2022-04-05,175.0600
2022-04-04,178.4400
2022-04-01,174.3100
2022-03-31,174.6100
2022-03-30,177.7700
2022-03-29,178.9600
2022-03-28,175.6000
2022-03-25,174.7200
2022-03-24,174.0700
2022-03-23,170.2100
2022-03-22,168.8200
2022-03-21,165.3800
2022-03-18,163.9800
2022-03-17,160.6200
2022-03-16,159.5900
2022-03-15,155.0900
2022-03-14,150.6200
2022-03-11,154.7300
2022-03-10,158.5200
2022-03-09,162.9500
2022-03-08,157.4400
2022-03-07,159.3000
2022-03-04,163.1700
2022-03-03,166.2300
2022-03-02,166.5600
2022-03-01,163.2000
2022-02-28,165.1200
2022-02-25,164.8500
2022-02-24,162.7400
2022-02-23,160.0700
2022-02-22,164.3200
2022-02-18,167.3000
2022-02-17,168.8800
2022-02-16,172.5500
2022-02-15,172.7900
2022-02-14,168.8800
2022-02-11,168.6400
2022-02-10,172.1200
2022-02-09,176.2800
2022-02-08,174.8300
2022-02-07,171.6600
2022-02-04,172.3900
2022-02-03,172.9000
2022-02-02,175.8400
2022-02-01,174.6100
2022-01-31,174.7800
2022-01-28,170.3300
2022-01-27,159.2200
2022-01-26,159.6900
2022-01-25,159.7800
2022-01-24,161.6200
2022-01-21,162.4100
2022-01-20,164.5100
2022-01-19,166.2300
2022-01-18,169.8000
2022-01-14,173.0700
2022-01-13,172.1900
2022-01-12,175.5300
2022-01-11,175.0800
2022-01-10,172.1900
2022-01-07,172.1700
2022-01-06,172.0000
2022-01-05,174.9200
